proxy,response_time,quality_score
203.19.38.114:1080,0.41,100
221.231.13.198:1080,0.79,100
139.129.202.244:80,1.30,90
218.75.102.198:8000,1.68,90
39.101.65.228:80,2.41,80
8.213.151.128:3128,0.29,100
47.89.184.18:3128,0.14,100
39.105.27.30:3128,0.62,100
39.102.213.213:8443,2.42,80
62.33.53.248:3128,4.43,70
8.209.255.13:3128,0.24,100
192.73.244.36:80,0.20,100
79.110.202.131:8081,0.32,100
47.243.92.199:3128,0.89,100
47.91.104.88:3128,0.75,100
103.86.109.38:80,0.49,100
47.251.43.115:33333,2.34,80
47.121.133.212:4006,2.41,80
135.181.154.225:80,0.35,100
47.121.133.212:8081,2.40,80
39.102.213.213:8081,2.42,80
47.109.110.100:9098,2.46,80
120.26.0.11:8880,0.73,100
39.106.192.29:8443,1.18,90
39.102.214.192:8080,2.42,80
91.241.217.58:9090,1.14,90
95.66.138.21:8880,0.44,100
123.30.154.171:7777,0.58,100
133.18.234.13:80,0.88,100
103.216.49.233:8080,0.51,100
38.54.71.67:80,0.72,100
97.74.87.226:80,0.38,100
47.108.159.113:8081,2.45,80
79.110.200.148:8081,0.31,100
47.108.159.113:80,2.44,80
121.43.154.123:9080,2.47,80
120.26.104.146:9098,2.39,80
47.238.130.212:8008,2.67,80
106.14.104.220:8080,2.41,80
39.102.208.149:8080,2.41,80
106.14.104.220:8081,2.41,80
39.102.209.128:9080,2.41,80
39.102.208.149:9080,2.42,80
103.118.47.243:8080,1.40,90
141.98.153.86:80,0.31,100
39.102.211.162:8080,2.42,80
190.103.177.131:80,1.10,90
39.102.208.236:9080,2.42,80
47.116.210.163:80,2.39,80
47.238.134.126:9080,2.32,80
47.238.128.246:8443,2.33,80
47.238.134.126:8181,2.33,80
47.238.134.126:8443,2.32,80
47.250.155.254:9098,2.76,80
103.63.190.72:8080,0.50,100
47.121.183.107:8080,2.41,80
47.238.130.212:80,2.33,80
79.110.201.235:8081,0.31,100
31.148.207.153:80,0.44,100
47.238.130.212:3128,2.33,80
122.116.125.115:8888,0.31,100
47.109.110.100:8080,2.45,80
183.215.23.242:9091,0.86,100
39.102.210.222:8080,2.41,80
106.14.104.220:3333,2.39,80
39.102.210.222:8888,2.41,80
117.74.65.207:443,2.41,80
47.116.210.163:8081,2.39,80
39.175.75.144:30001,0.76,100
47.238.128.246:4145,2.33,80
47.121.133.212:8080,2.41,80
47.90.205.231:33333,5.05,60
39.102.214.192:8443,2.42,80
82.102.10.253:80,0.27,100
39.102.210.222:80,2.41,80
47.250.177.202:80,2.41,80
47.238.128.246:80,2.32,80
